Prefix	Last	First	Suffix	FilingType	StateDst	Year	FilingDate	DocID
	Aazami	Shervin		C	CA30	2021	2/22/2021	10039551
Hon.	Allen	Richard W.		P	GA12	2021	1/13/2021	20018021
Hon.	Allen	Richard W.		P	GA12	2021	3/14/2021	20018393
Hon.	Allen	Richard W.		P	GA12	2021	4/6/2021	20018530
Hon.	Amash	Justin		T	MI03	2021	2/2/2021	10039489
	Amato	Bruno		A	CA23	2021	4/28/2021	10040026
	Amato	Bruno		C	CA23	2021	4/28/2021	10040017
	Anders	Bob		C	MO02	2021	4/15/2021	10039735
	Ardoin	Chelsea		C	LA02	2021	4/28/2021	8217995
	Atencio	Rudy A.		C	TX08	2021	4/14/2021	10039732
	Bailey	William		D	SC07	2021	4/26/2021	8217993
Hon.	Banks	James E Hon		P	IN03	2021	1/13/2021	20018018
	Bean	Lydia		C	TX06	2021	3/31/2021	10039697
Mr.	Berg	Matthew Richard		C	TX22	2021	3/12/2021	10039617
	Bernard	Claston		C	LA02	2021	3/10/2021	10039601
Hon.	Beyer	Donald Sternoff Honorable	Jr	P	VA08	2021	1/1/2021	20017909
Hon.	Beyer	Donald Sternoff Honorable	Jr	P	VA08	2021	1/31/2021	20018096
Hon.	Beyer	Donald Sternoff Honorable	Jr	P	VA08	2021	2/27/2021	20018292
Hon.	Beyer	Donald Sternoff Honorable	Jr	P	VA08	2021	4/1/2021	20018431
Hon.	Bishop	Rob		T	UT01	2021	2/4/2021	8217836
Hon.	Blumenauer	Earl		P	OR03	2021	1/6/2021	20017979
Hon.	Blumenauer	Earl		P	OR03	2021	2/3/2021	20018142
Hon.	Blumenauer	Earl		P	OR03	2021	3/3/2021	20018321
Hon.	Blumenauer	Earl		P	OR03	2021	3/5/2021	20018338
Hon.	Blumenauer	Earl		P	OR03	2021	4/2/2021	20018506
Hon.	Brindisi	Anthony		C	NY22	2021	2/10/2021	10039525
Hon.	Brooks	Mo		P	AL05	2021	1/26/2021	20018077
Hon.	Brooks	Mo		P	AL05	2021	2/12/2021	20018204
Hon.	Brooks	Mo		P	AL05	2021	2/16/2021	20018223
Hon.	Brooks	Mo		P	AL05	2021	4/20/2021	20018605
Hon.	Buchanan	Vern		P	FL16	2021	1/18/2021	20018041
Hon.	Buchanan	Vern		P	FL16	2021	2/25/2021	20018280
Hon.	Buchanan	Vern		P	FL16	2021	4/28/2021	20018648
	Burau	Justin		D	IL06	2021	4/29/2021	40003169
Hon.	Castor	Kathy		P	FL14	2021	1/4/2021	20017966
Hon.	Castor	Kathy		P	FL14	2021	2/18/2021	20018237
Hon.	Castor	Kathy		P	FL14	2021	4/14/2021	20018576
	Castorani	John		D	VA07	2021	4/28/2021	40003167
Mrs.	Christophe	Sandra		C	LA05	2021	3/16/2021	10039638
Hon.	Cisneros	Gilbert		P	CA39	2021	1/11/2021	20017992
Hon.	Cisneros	Gilbert		T	CA39	2021	4/27/2021	10039421
